Materiale;Nuovo Testo breve materiale;;Nuovo Testo breve materiale EN;
5000007209-00;CUSCINETTO OBLIQUO SFERA S7209 ACDGA/P4A;40;ANG. CONT. B-BEARING S7209 ACDGA/P4A;36
5000007213-00;CUSCINETTO OBLIQUO SFERA 7213 ACDGA/P4A;39;ANG. CONT. B-BEARING 7213 ACDGA/P4A;35
5000011207-00;CUSCINETTO 11207;16;BEARING 11207;13
5000013204-00;CUSCINETTO OBLIQUO SFERA 3204 ATN9/C2;37;ANG. CONT. B-BEARING 3204 ATN9/C2;33
5000013205-00;CUSCINETTO OBLIQUO SFERA 3205 ATN9/C2;37;ANG. CONT. B-BEARING 3205 ATN9/C2;33
5000016004-00;CUSCINETTO RADIALE SFERA 16004;30;DEEP GROOVE B-BEARING 16004;27
5000016007-00;CUSCINETTO RADIALE SFERA 16007;30;DEEP GROOVE B-BEARING 16007;27
5000017014-00;CUSCINETTO OBLIQ. SFERA S7014 ACDGA/P4A;39;ANG. CONT. B-BEARING S7014 ACDGA/P4A;36
5000022211-00;ANELLO DI ARRESTO FRB 10/120;28;RETAINING RING FRB 10/120;25
5000022212-00;BUSSOLA DI TRAZIONE H 313;25;ADAPTER SLEEVE H 313;20
5000022213-00;CUSCINETTO ORIENT. RULLI 22213 EK;33;SPHERICAL ROLLER BEARING 22213 EK;33
5000022214-00;TENUTA CON FELTRO TSNA 513 C;28;FELT SEAL TSNA 513 C;20
5000022216-00;CUSCINETTO ORIENT. RULLI 22216 E;32;SPHERICAL ROLLER BEARING 22216 E;32
5000022217-00;ANELLO DI ARRESTO FRB 12,5/140;30;RETAINING RING FRB 12,5/140;27
5000022218-00;TENUTA A LABBRO DH 216;22;LIP SEAL DH 216;15
5000022219-00;TENUTA A LABBRO TSN 516 4;25;LIP SEAL TSN 516 4;18
5000022220-00;CUSCINETTO ORIENT. RULLI 22216 EK ;34;SPHERICAL ROLLER BEARING 22216 EK ;34
5000022221-00;BUSSOLA DI TRAZIONE H 316;25;ADAPTER SLEEVE H 316;20
5000022222-00;BUSSOLA DI TRAZIONE H 2318;26;ADAPTER SLEEVE H 2318;21
5000022223-00;TENUTA CON FELTRO TSNA 518 C;28;FELT SEAL TSNA 518 C;20
5000022224-00;ANELLO DI ARRESTO FRB 6,25/160;30;RETAINING RING FRB 6,25/160;27
5000023205-00;CUSCINETTO OBLIQUO SFERA 3205-2RS INOX;38;ANG. CONT. B-BEARING 3205-2RS INOX;34
5000023218-00;CUSCINETTO ORIENT. RULLI 23218 CCK/W33;38;SPHERICAL ROLLER BEARING 23218 CCK/W33;38
5000024204-00;CUSCINETTO OBLIQUO SFERA 4204-2RS INOX;38;ANG. CONT. B-BEARING 4204-2RS INOX;34
5000030205-00;CUSCINETTO RULLI CONICI 30205 J2/Q;34;TAPERED ROLLER BEARING 30205 J2/Q;33
5000031305-00;CUSCINETTO RULLI CONICI 31305/DF;32;TAPERED ROLLER BEARING 31305/DF;31
5000032004-00;CUSCINETTO RULLI CONICI 32004 X/Q;33;TAPERED ROLLER BEARING 32004 X/Q;32
5000032005-00;CUSCINETTO RULLI CONICI 32005 X/Q;33;TAPERED ROLLER BEARING 32005 X/Q;32
5000032006-00;CUSCINETTO RULLI CONICI 32006 X/Q;33;TAPERED ROLLER BEARING 32006 X/Q;32
5000032007-00;CUSCINETTO RULLI CONICI 32007 X/Q;33;TAPERED ROLLER BEARING 32007 X/Q;32
5000032008-00;CUSCINETTO RULLI CONICI 32008 X/Q;33;TAPERED ROLLER BEARING 32008 X/Q;32
5000032009-00;CUSCINETTO RULLI CONICI 32009 X/Q;33;TAPERED ROLLER BEARING 32009 X/Q;32
5000032014-00;CUSCINETTO RULLI CONICI 32014 X/Q;33;TAPERED ROLLER BEARING 32014 X/Q;32
5000032020-00;CUSCINETTO RULLI CONICI 32020 X/Q;33;TAPERED ROLLER BEARING 32020 X/Q;32
5000032032-00;CUSCINETTO RULLI CONICI 320/32 X/Q;34;TAPERED ROLLER BEARING 320/32 X/Q;33
5000032928-00;CUSCINETTO RULLI CONICI 32928;29;TAPERED ROLLER BEARING 32928;28
5000032934-00;CUSCINETTO RULLI CONICI 32934;29;TAPERED ROLLER BEARING 32934;28
5000033016-00;CUSCINETTO RULLI CONICI 33016;29;TAPERED ROLLER BEARING 33016;28
5000033020-00;CUSCINETTO RULLI CONICI 33020;29;TAPERED ROLLER BEARING 33020;28
5000033108-00;CUSCINETTO RULLI CONICI 33108;29;TAPERED ROLLER BEARING 33108;28
5000051100-00;CUSCINETTO ASSIALE SFERA 51100;30;THRUST BALL BEARING 51100;25
5000051102-00;CUSCINETTO ASSIALE SFERA 51102;30;THRUST BALL BEARING 51102;25
